,NFLOOR,YRCON,WKHRS,NWKER,HEATP,COOLP,PCTERMN,LAPTPN,PRNTRN,COPIERN,LTOHRP,LTNHRP,DAYLTP,OPEN24,OPNWE,PBAPLUS,RENRFF,RENINS,CENDIV,PBA,FREESTN,RFTILT,WLCNS,BLDSHP,BLDSHP,YRCONC,RENHVC,RENWIN,RENLGT,RENELC,RENINS,RENSTR
0,1,1975,16,2,100.0,25.0,2.0,0.0,2.0,1.0,100.0,50.0,0.0,2,2,47,1.0,2.0,4,26,1.0,2,4,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1,1,1985,72,52,100.0,100.0,23.0,7.0,17.0,3.0,74.0,16.0,19.0,2,1,50,1.0,2.0,5,23,1.0,1,3,6.0,6.0,6,1.0,2.0,2.0,2.0,2.0,2.0
3,994,1983,168,165,100.0,100.0,50.0,5.0,99.0,10.0,90.0,80.0,20.0,1,1,38,2.0,2.0,7,18,1.0,1,6,9.0,9.0,6,1.0,2.0,2.0,2.0,2.0,2.0
4,2,1972,65,19,100.0,100.0,26.0,13.0,20.0,2.0,100.0,35.0,0.0,2,1,6,2.0,2.0,7,2,1.0,1,3,1.0,1.0,5,2.0,2.0,2.0,2.0,2.0,2.0
6,8,1950,168,350,100.0,99.0,1200.0,1420.0,332.0,35.0,90.0,65.0,0.0,1,1,35,2.0,2.0,7,16,1.0,1,1,4.0,4.0,3,1.0,1.0,1.0,1.0,2.0,2.0
8,1,1980,68,25,100.0,100.0,20.0,2.0,9.0,1.0,85.0,10.0,10.0,2,1,2,1.0,2.0,7,2,1.0,1,1,2.0,2.0,6,1.0,2.0,2.0,2.0,2.0,2.0
9,995,1989,72,1500,100.0,100.0,1200.0,500.0,60.0,55.0,100.0,25.0,50.0,2,1,4,2.0,2.0,5,2,1.0,1,6,11.0,11.0,6,2.0,2.0,2.0,2.0,2.0,2.0
12,2,1973,50,15,40.0,40.0,12.0,4.0,4.0,2.0,70.0,5.0,25.0,2,2,45,2.0,2.0,5,26,1.0,2,5,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
14,2,1998,50,300,100.0,100.0,1400.0,20.0,200.0,4.0,4.0,2.0,20.0,2,2,29,2.0,2.0,7,14,1.0,1,1,11.0,11.0,7,1.0,2.0,2.0,2.0,2.0,2.0
15,3,1961,50,71,100.0,100.0,250.0,200.0,50.0,3.0,100.0,20.0,15.0,2,1,28,2.0,2.0,4,14,1.0,2,1,4.0,4.0,4,1.0,1.0,1.0,2.0,2.0,2.0
19,2,1989,60,124,100.0,92.0,159.0,25.0,14.0,7.0,80.0,20.0,10.0,2,1,4,1.0,1.0,4,2,1.0,1,1,9.0,9.0,6,1.0,2.0,1.0,2.0,1.0,2.0
